tag,citation,expmm,expyy,make,state,location,violCode,Description,violFine,violDate,balance,penaltyDate,openFine,openPenalty,noticeDate,ImportDate
WZH1647,97727655,05,13,HOND,VA,1600 SHAKESPEARE ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:36:00 PM,$0.00,,$32.00,$0.00,,07/12/2012 11:02:00 AM +0000
6BGZ08,58065517,11,13,MAZD,MD,HARFORD NB @ CHRISTOPHER,30,Red Light Violation,$75.00,07/04/2012 09:36:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
2AR8091,97727648,03,14,VOLK,MD,1600 SHAKESPEARE ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:34:00 PM,$0.00,,$32.00,$0.00,,07/12/2012 11:02:00 AM +0000
HTV4794,97092506,08,12,FORD,PA,600 E HEATH ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:33:00 PM,$0.00,,$0.00,$0.00,,07/12/2012 11:02:00 AM +0000
BME1038,97727630,06,13,OLDS,MI,1600 SHAKESPEARE ST,11,Residential Parking Permit Only,$52.00,07/04/2012 09:33:00 PM,$52.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
2AR8721,58065509,04,14,TOYT,MD,PULASKI EB @ MORAVIA,30,Red Light Violation,$75.00,07/04/2012 09:30:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
3AC8405,79586376,06,12,TOYT,MD,700 S CENTRAL AVE,3,Obstruct/Impeding Flow of Traffic,$102.00,07/04/2012 09:30:00 PM,$102.00,,$102.00,$0.00,,07/17/2012 11:02:00 AM +0000
11965CC,97727622,07,13,VOLK,MD,1600 SHAKESPEARE ST,11,Residential Parking Permit Only,$52.00,07/04/2012 09:30:00 PM,$0.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
1FDK01,79586368,06,13,TOYT,MD,700 S CENTRL AVENUE,3,Obstruct/Impeding Flow of Traffic,$102.00,07/04/2012 09:30:00 PM,$102.00,,$102.00,$0.00,,07/27/2012 11:03:00 AM +0000
4AL9548,97727614,01,14,MAZD,MD,1600 SHAKESPEARE ST,11,Residential Parking Permit Only,$52.00,07/04/2012 09:29:00 PM,$0.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
1FVX63,79586350,01,14,DODG,MD,700 S CENTRAL AVE,3,Obstruct/Impeding Flow of Traffic,$102.00,07/04/2012 09:28:00 PM,$102.00,,$102.00,$0.00,,08/09/2012 11:03:00 AM +0000
40963M2,58065491,08,13,LINC,MD,NORTHERN WB @ GREENSPRING,30,Red Light Violation,$75.00,07/04/2012 09:28:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
ZBW0216,97092498,12,12,TOYT,PA,600 E RANDALL ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:26:00 PM,$0.00,,$32.00,$0.00,,07/12/2012 11:02:00 AM +0000
8GAA44,97727606,04,14,ACUR,MD,800 S BOND ST,11,Residential Parking Permit Only,$52.00,07/04/2012 09:25:00 PM,$52.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
